code,ko_text,ko_braille,braille_chars,frequency
P363,다시 사용 전 오염된 의류를 세척하시오.,⠴⠠⠏⠼⠉⠋⠉⠀⠐⠂⠀⠊⠣⠠⠕⠀⠠⠣⠛⠬⠶⠀⠨⠎⠒⠀⠛⠥⠛⠱⠢⠊⠽⠒⠀⠛⠺⠐⠩⠐⠪⠂⠀⠠⠝⠰⠎⠁⠚⠣⠠⠕⠛⠥⠲,55,888
P370+P372+P380+P373,화재 시:폭발 위험성이 있음.주변 지역의 사람을 대피시키시오.화염이 폭발성 물질에 도달하면 불을 끄려하지 마시오.,⠴⠠⠏⠼⠉⠛⠚+⠴⠠⠏⠼⠉⠛⠃+⠴⠠⠏⠼⠉⠓⠚+⠴⠠⠏⠼⠉⠛⠉⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠙⠥⠁⠘⠣⠂⠀⠛⠍⠗⠚⠎⠢⠠⠎⠶⠛⠕⠀⠛⠕⠌⠛⠪⠢⠲⠨⠍⠘⠱⠒⠀⠨⠕⠛⠱⠁⠛⠺⠀⠠⠣⠐⠣⠢⠛⠪⠂⠀⠊⠗⠙⠕⠠⠕⠋⠕⠠⠕⠛⠥⠲⠚⠧⠛⠱⠢⠛⠕⠀⠙⠥⠁⠘⠣⠂⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠛⠝⠀⠊⠥⠊⠣⠂⠚⠣⠑⠱⠒⠀⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠐⠱⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,168,94
P370+P376,화재 시:안전하게 처리하는 것이 가능하면 누출을 막으시오.,⠴⠠⠏⠼⠉⠛⠚+⠴⠠⠏⠼⠉⠛⠋⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠛⠣⠒⠨⠎⠒⠚⠣⠈⠝⠀⠰⠎⠐⠕⠚⠣⠉⠪⠒⠀⠈⠎⠄⠛⠕⠀⠈⠣⠉⠪⠶⠚⠣⠑⠱⠒⠀⠉⠍⠰⠍⠂⠛⠪⠂⠀⠑⠣⠁⠛⠪⠠⠕⠛⠥⠲,85,15
P370+P378,화재 시:불을 끄기 위해…을(를)사용하시오.,⠴⠠⠏⠼⠉⠛⠚+⠴⠠⠏⠼⠉⠛⠓⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠈⠕⠀⠛⠍⠗⠚⠗…⠛⠪⠂⠤⠐⠪⠂⠤⠠⠣⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲,67,2115
P370+P380+P375,화재 시:주변 지역의 사람을 대피시키시오.폭발의 위험이 있으므로 거리를 유지하면서 불을 끄시오.,⠴⠠⠏⠼⠉⠛⠚+⠴⠠⠏⠼⠉⠓⠚+⠴⠠⠏⠼⠉⠛⠑⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠨⠍⠘⠱⠒⠀⠨⠕⠛⠱⠁⠛⠺⠀⠠⠣⠐⠣⠢⠛⠪⠂⠀⠊⠗⠙⠕⠠⠕⠋⠕⠠⠕⠛⠥⠲⠙⠥⠁⠘⠣⠂⠛⠺⠀⠛⠍⠗⠚⠎⠢⠛⠕⠀⠛⠕⠌⠛⠪⠑⠪⠐⠥⠀⠈⠎⠐⠕⠐⠪⠂⠀⠛⠩⠨⠕⠚⠣⠑⠱⠒⠠⠎⠀⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠠⠕⠛⠥⠲,135,2
P370+P380+P375+P378,화재 시:주변 지역의 사람을 대피시키시오.폭발의 위험이 있으므로 거리를 유지하면서 불을 끄시오. [불을 끄기 위해…을(를)사용하시오.],⠴⠠⠏⠼⠉⠛⠚+⠴⠠⠏⠼⠉⠓⠚+⠴⠠⠏⠼⠉⠛⠑+⠴⠠⠏⠼⠉⠛⠓⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠨⠍⠘⠱⠒⠀⠨⠕⠛⠱⠁⠛⠺⠀⠠⠣⠐⠣⠢⠛⠪⠂⠀⠊⠗⠙⠕⠠⠕⠋⠕⠠⠕⠛⠥⠲⠙⠥⠁⠘⠣⠂⠛⠺⠀⠛⠍⠗⠚⠎⠢⠛⠕⠀⠛⠕⠌⠛⠪⠑⠪⠐⠥⠀⠈⠎⠐⠕⠐⠪⠂⠀⠛⠩⠨⠕⠚⠣⠑⠱⠒⠠⠎⠀⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠠⠕⠛⠥⠲⠀[⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠈⠕⠀⠛⠍⠗⠚⠗…⠛⠪⠂⠤⠐⠪⠂⠤⠠⠣⠛⠬⠶⠚⠣⠠⠕⠛⠥⠲],185,37
P371+P380+P375,대형 화재 시:주변 지역의 사람을 대피시키시오.폭발의 위험이 있으므로 거리를 유지하면서 불을 끄시오.,⠴⠠⠏⠼⠉⠛⠁+⠴⠠⠏⠼⠉⠓⠚+⠴⠠⠏⠼⠉⠛⠑⠀⠐⠂⠀⠊⠗⠚⠱⠶⠀⠚⠧⠨⠗⠀⠠⠕⠐⠂⠨⠍⠘⠱⠒⠀⠨⠕⠛⠱⠁⠛⠺⠀⠠⠣⠐⠣⠢⠛⠪⠂⠀⠊⠗⠙⠕⠠⠕⠋⠕⠠⠕⠛⠥⠲⠙⠥⠁⠘⠣⠂⠛⠺⠀⠛⠍⠗⠚⠎⠢⠛⠕⠀⠛⠕⠌⠛⠪⠑⠪⠐⠥⠀⠈⠎⠐⠕⠐⠪⠂⠀⠛⠩⠨⠕⠚⠣⠑⠱⠒⠠⠎⠀⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠠⠕⠛⠥⠲,141,28
P377,"가스 누출 화재;누출을 안전하게 막을 수 없다면,불을 끄려하지 마시오.",⠴⠠⠏⠼⠉⠛⠛⠀⠐⠂⠀⠈⠣⠠⠪⠀⠉⠍⠰⠍⠂⠀⠚⠧⠨⠗⠰⠉⠍⠰⠍⠂⠛⠪⠂⠀⠛⠣⠒⠨⠎⠒⠚⠣⠈⠝⠀⠑⠣⠁⠛⠪⠂⠀⠠⠍⠀⠛⠎⠃⠄⠊⠣⠑⠱⠒⠐⠘⠍⠂⠛⠪⠂⠀⠠⠈⠪⠐⠱⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,91,217
P381,누출 시 모든 점화원을 제거하시오.,⠴⠠⠏⠼⠉⠓⠁⠀⠐⠂⠀⠉⠍⠰⠍⠂⠀⠠⠕⠀⠑⠥⠊⠪⠒⠀⠨⠎⠢⠚⠧⠛⠏⠒⠛⠪⠂⠀⠨⠝⠈⠎⠚⠣⠠⠕⠛⠥⠲,49,217
P390,물질손상을 방지하기 위해 누출물을 흡수시키시오.,⠴⠠⠏⠼⠉⠊⠚⠀⠐⠂⠀⠑⠍⠂⠨⠕⠂⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠘⠣⠶⠨⠕⠚⠣⠈⠕⠀⠛⠍⠗⠚⠗⠀⠉⠍⠰⠍⠂⠑⠍⠂⠛⠪⠂⠀⠚⠪⠃⠠⠍⠠⠕⠋⠕⠠⠕⠛⠥⠲,69,300
P391,누출물을 모으시오.,⠴⠠⠏⠼⠉⠊⠁⠀⠐⠂⠀⠉⠍⠰⠍⠂⠑⠍⠂⠛⠪⠂⠀⠑⠥⠛⠪⠠⠕⠛⠥⠲,32,5088
P401,관련 법규에 명시된 내용에 따라 보관하시오.,⠴⠠⠏⠼⠙⠚⠁⠀⠐⠂⠀⠈⠧⠒⠐⠱⠒⠀⠘⠎⠃⠈⠩⠛⠝⠀⠑⠱⠶⠠⠕⠊⠽⠒⠀⠉⠗⠛⠬⠶⠛⠝⠀⠠⠊⠣⠐⠣⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,61,72
P402+P404,건조한 장소에 보관하시오.밀폐된 용기에 보관하시오.,⠴⠠⠏⠼⠙⠚⠃+⠴⠠⠏⠼⠙⠚⠙⠀⠐⠂⠀⠈⠎⠒⠨⠥⠚⠣⠒⠀⠨⠣⠶⠠⠥⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲⠑⠕⠂⠙⠌⠊⠽⠒⠀⠛⠬⠶⠈⠕⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,77,89
P403,환기가 잘 되는 곳에 보관하시오.,⠴⠠⠏⠼⠙⠚⠉⠀⠐⠂⠀⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠉⠪⠒⠀⠈⠥⠄⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,47,510
P403+P233,환기가 잘 되는 곳에 보관하시오.용기를 단단히 밀폐하시오.,⠴⠠⠏⠼⠙⠚⠉+⠴⠠⠏⠼⠃⠉⠉⠀⠐⠂⠀⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠉⠪⠒⠀⠈⠥⠄⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲⠛⠬⠶⠈⠕⠐⠪⠂⠀⠊⠣⠒⠊⠣⠒⠚⠕⠀⠑⠕⠂⠙⠌⠚⠣⠠⠕⠛⠥⠲,85,2874
P403+P235,환기가 잘 되는 곳에 보관하시오.저온으로 유지하시오.,⠴⠠⠏⠼⠙⠚⠉+⠴⠠⠏⠼⠃⠉⠑⠀⠐⠂⠀⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠉⠪⠒⠀⠈⠥⠄⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲⠨⠎⠛⠥⠒⠛⠪⠐⠥⠀⠛⠩⠨⠕⠚⠣⠠⠕⠛⠥⠲,76,1522
P405,잠금장치를 하여 저장하시오.,⠴⠠⠏⠼⠙⠚⠑⠀⠐⠂⠀⠨⠣⠢⠈⠪⠢⠨⠣⠶⠰⠕⠐⠪⠂⠀⠚⠣⠛⠱⠀⠨⠎⠨⠣⠶⠚⠣⠠⠕⠛⠥⠲,43,6325
P406,금속부식성 물질이므로 제조자 또는 행정관청에서 정한 내부식성 용기 등에 보관하시오.,⠴⠠⠏⠼⠙⠚⠋⠀⠐⠂⠀⠈⠪⠢⠠⠥⠁⠘⠍⠠⠕⠁⠠⠎⠶⠀⠑⠍⠂⠨⠕⠂⠛⠕⠑⠪⠐⠥⠀⠨⠝⠨⠥⠨⠣⠀⠠⠊⠥⠉⠪⠒⠀⠚⠗⠶⠨⠎⠶⠈⠧⠒⠰⠎⠶⠛⠝⠠⠎⠀⠨⠎⠶⠚⠣⠒⠀⠉⠗⠘⠍⠠⠕⠁⠠⠎⠶⠀⠛⠬⠶⠈⠕⠀⠊⠪⠶⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,112,300
P407,적재물 또는 팔레트 사이의 간격을 유지하시오.,⠴⠠⠏⠼⠙⠚⠛⠀⠐⠂⠀⠨⠎⠁⠨⠗⠑⠍⠂⠀⠠⠊⠥⠉⠪⠒⠀⠙⠣⠂⠐⠝⠓⠪⠀⠠⠣⠛⠕⠛⠺⠀⠈⠣⠒⠈⠱⠁⠛⠪⠂⠀⠛⠩⠨⠕⠚⠣⠠⠕⠛⠥⠲,63,33
P410,직사광선을 피하시오.,⠴⠠⠏⠼⠙⠁⠚⠀⠐⠂⠀⠨⠕⠁⠠⠣⠈⠧⠶⠠⠎⠒⠛⠪⠂⠀⠙⠕⠚⠣⠠⠕⠛⠥⠲,35,97
P410+P403,직사광선을 피하시오.환기가 잘 되는 곳에 보관하시오.,⠴⠠⠏⠼⠙⠁⠚+⠴⠠⠏⠼⠙⠚⠉⠀⠐⠂⠀⠨⠕⠁⠠⠣⠈⠧⠶⠠⠎⠒⠛⠪⠂⠀⠙⠕⠚⠣⠠⠕⠛⠥⠲⠚⠧⠒⠈⠕⠈⠣⠀⠨⠣⠂⠀⠊⠽⠉⠪⠒⠀⠈⠥⠄⠛⠝⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,79,217
P410+P412,직사광선을 피하시오. 50℃이상의 온도에 노출시키지 마시오.,⠴⠠⠏⠼⠙⠁⠚+⠴⠠⠏⠼⠙⠁⠃⠀⠐⠂⠀⠨⠕⠁⠠⠣⠈⠧⠶⠠⠎⠒⠛⠪⠂⠀⠙⠕⠚⠣⠠⠕⠛⠥⠲⠀⠼⠑⠚℃⠛⠕⠠⠣⠶⠛⠺⠀⠛⠥⠒⠊⠥⠛⠝⠀⠉⠥⠰⠍⠂⠠⠕⠋⠕⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,83,2
P411,반응성이 높은 물질이므로 보관 시…℃를 넘지 않도록 유의하시오.,⠴⠠⠏⠼⠙⠁⠁⠀⠐⠂⠀⠘⠣⠒⠛⠪⠶⠠⠎⠶⠛⠕⠀⠉⠥⠲⠛⠪⠒⠀⠑⠍⠂⠨⠕⠂⠛⠕⠑⠪⠐⠥⠀⠘⠥⠈⠧⠒⠀⠠⠕…℃⠐⠪⠂⠀⠉⠎⠢⠨⠕⠀⠛⠣⠒⠴⠊⠥⠐⠥⠁⠀⠛⠩⠛⠺⠚⠣⠠⠕⠛⠥⠲,84,65
P413,반응성이 높은 물질이므로…㎏이상으로 보관 시…℃를 넘지 않도록 하시오.,⠴⠠⠏⠼⠙⠁⠉⠀⠐⠂⠀⠘⠣⠒⠛⠪⠶⠠⠎⠶⠛⠕⠀⠉⠥⠲⠛⠪⠒⠀⠑⠍⠂⠨⠕⠂⠛⠕⠑⠪⠐⠥…㎏⠛⠕⠠⠣⠶⠛⠪⠐⠥⠀⠘⠥⠈⠧⠒⠀⠠⠕…℃⠐⠪⠂⠀⠉⠎⠢⠨⠕⠀⠛⠣⠒⠴⠊⠥⠐⠥⠁⠀⠚⠣⠠⠕⠛⠥⠲,91,33
P420,격리하여 보관하시오.,⠴⠠⠏⠼⠙⠃⠚⠀⠐⠂⠀⠈⠱⠁⠐⠕⠚⠣⠛⠱⠀⠘⠥⠈⠧⠒⠚⠣⠠⠕⠛⠥⠲,33,115
P501,폐기물 관련 법령에 따라 내용물/용기를 폐기하시오,⠴⠠⠏⠼⠑⠚⠁⠀⠐⠂⠀⠙⠌⠈⠕⠑⠍⠂⠀⠈⠧⠒⠐⠱⠒⠀⠘⠎⠃⠐⠱⠶⠛⠝⠀⠠⠊⠣⠐⠣⠀⠉⠗⠛⠬⠶⠑⠍⠂/⠛⠬⠶⠈⠕⠐⠪⠂⠀⠙⠌⠈⠕⠚⠣⠠⠕⠛⠥,69,11838
P502,제조자 또는 공급자가 제공한 재생 또는 재활용에 대한 정보를 참조하시오,⠴⠠⠏⠼⠑⠚⠃⠀⠐⠂⠀⠨⠝⠨⠥⠨⠣⠀⠠⠊⠥⠉⠪⠒⠀⠈⠥⠶⠈⠪⠃⠨⠣⠈⠣⠀⠨⠝⠈⠥⠶⠚⠣⠒⠀⠨⠗⠠⠗⠶⠀⠠⠊⠥⠉⠪⠒⠀⠨⠗⠚⠧⠂⠛⠬⠶⠛⠝⠀⠊⠗⠚⠣⠒⠀⠨⠎⠶⠘⠥⠐⠪⠂⠀⠰⠣⠢⠨⠥⠚⠣⠠⠕⠛⠥,95,35
